ID,Name,Count
19077422,lovesinging,1
18934063,Digihealthiest,1
23191944,AIGLondonDataScienceMeetup,1
18563378,LuxuryFashionClub,1
18592055,Advanced-Spark-and-TensorFlow-Meetup-London,6
18725178,London-Startup-Pitching-Networking,3
16811902,AdTech-Meetup-London,2
20738365,AI-Showcase,1
1562942,london-scala,1
18407743,import-io-users-group,3
19294529,Coed-Code,1
4884802,raspberryjam,2
20226373,Bots-AI-Messaging-Meetup,5
20552008,Big-Data-Hadoop-Ingest-Transform-Apex-London-Online,4
22567308,The-Alan-Turing-Institute-Meetup,2
19624268,London-Data-Governance-Meetup,2
18898658,Codecademy-London,2
4062902,London-Emberjs-User-Group,1
7551312,HealthTechnologyForum-London,2
17936722,GrowthEnabler,1
19836643,FinTech-Users-Customers-FinTech-Services-UX-Paris,1
919892,javascript-3,1
2621782,CodeCollective,1
20300119,meetup-group-FSgTXMvo,1
3248472,Alternative-nightlife,2
22880602,Polyglot-Full-Stack-Developers,2
19118427,Kaleido-LDN,3
18549700,London-Startup-Saturdays,1
20350010,Campfire-Choir,1
23779679,London-Senior-Technology-Leaders-Meetup,2
19548515,London-Machine-Learning-Study-Group,6
2722152,aperoChic,1
11284842,Lean-Coffee-London,1
23310699,Black-Start-up-Meet-up,2
19569005,Data-Science-for-Internet-of-Things-Meetup-London,7
16613742,Virtual-IoT,1
19849583,Linuxing-In-London,1
18252144,NEUROSCIENCE-LONDON,2
1309416,drinksandlinks,1
14078322,London-Business-Analytics-Group,9
18968947,Internationals-in-Munchen,1
18510196,COINPLUS-Bitcoin-and-Blockchain,1
15313272,Fullstack-js-London,3
18231673,Jumpingwithus,1
2886012,American-Sports-Club-London,1
20676990,London-Startup-Entrepreneurs-Network,1
20767125,Ecommerce-Accelerated,1
20081998,West-London-Coders,1
22185824,mentors-mentees,1
6199682,tech-collective,2
18588035,sqlsupperlondon,1
16424342,Fashion-Start-ups-Entrepreneurs,1
5958022,Hipsters-Hackers-Hustlers,3
18660042,Neurons-AI-UK-London,8
18592138,Stack-Overflow-Meetups,1
10183052,Nerd-Nite-London-learn-interesting-stuff-while-drinking,2
8339522,Paris-Machine-learning-applications-group,1
2945102,Data-Visualisation-with-Tableau,1
23255442,Data-Scienziati-of-London,2
2236821,Ladies-of-Code-UK,1
1672102,HNLondon,2
19790232,Bicycle-day-trips-near-London,1
4473242,DevTOEvents,1
20160923,SnackandHack,2
18698652,Agile-Data-London-Meetup,2
1606498,AsianMovies,1
18684318,Intel-Developers-London,1
17527352,GOTO-Nights-London-UK,2
14690722,Mi-Spanish-for-your-English-TORONTO-Meetup-Group,1
233891,londonblack,2
23519652,Coding-challenge-meetup,1
1501605,grad-dc,1
23228841,Longidi-Events,1
18405804,VR-AR-MR-Immersive-London,3
22256046,YENA-Reading,1
19224989,Paris-Machine-Learning-Reading-Group,1
14044232,Beijing-3D-Modeling-Cloud-Development-Technology-Meetup,1
20310450,Hack-Brexit,2
3783092,KaraOKulta,1
430517,brunchclub-135,1
17035702,London-3D-Computer-Vision-Sensing,1
22485431,Croydon-Facebook-Meetup,1
18356664,Digital,7
18469305,SustainableDevelopmentCommunity,1
20270495,Competitive-Intelligence-London,1
20709821,London-Online-Business-Startup,1
3701182,Spring-of-Code,1
1575360,existentialists,1
19812801,Artificial-Intelligence-Deep-Learning-Enthusiasts-Meetup,1
12820932,full-stack-to,1
18654966,London-Kaggle-Meetup,9
2097611,Startups-Investors-London,2
7473612,London-GameDev-Lunch,3
19474893,rladies-london,2
1724878,London-Web-Performance-Group,1
19089872,Lean-Product-Delivery,1
19507666,London-Machine-Learning-Practice-Meetup,8
18706900,London-ODSC,9
21135438,ChineseMarketing,1
20361686,Data-Science-Foundation-London,1
19331544,gdgcloud,3
14768602,cityrunningclub,1
1671648,torontojs,1
23212513,Backdoor-London,1
20244964,Tech-Breakfast-London,1
19499493,Makers-Academy-Alumni,1
3752422,Financial-Engineers-Quants-London,2
1640936,halfstack,1
63977,frenchmeetup,1
17611242,ShoreditchJS,1
22484733,WebVR-Meetup-Group,1
10625522,london-creative-coding,6
20208115,Blockchain-SmartContract-Innovators,2
18895349,fridayfintechbreakfast,1
12630522,drivenbydata-Meet-up,1
21574355,Raw-Green-Superfood-Living,1
18416125,Service-Lab-London,1
19994709,Science-in-Social-Settings-London,1
18363136,South-London-Tech-Meetups,3
19495426,Toronto-Digital-Currency-Compliance-Meetup,1
18326019,brixtonbc,1
17412612,AfricaTechLondon,6
18924037,KickStartUp-Club-London,1
21508614,Virtual-Augmented-Mixed-Reality-London,2
20371201,NixOS-London,1
24547848,ICO-Meetup-London,1
4425132,uxtoronto,1
7393802,tripmeeters-paris,1
1798667,Developers-Entrepreneurs,6
14064142,PyData-London-Meetup,10
12111152,AgileConnexions,1
18496017,London-ALM-And-DevOps-Meetup,1
20300306,South-East-London-Startups,1
23441940,Cambridge-Rust-Meetup,1
21989911,Luxury-fashion-networking,1
5407492,decentral_ca,1
11854362,Women-Who-Code-London,3
13320732,PyLadiesLondon,2
14354522,London-PaaS-Bluemix-Meetup,1
1804831,London-Unity-Usergroup,4
20328992,Cambridge-Fintech-Network,1
1161763,LondonEntrepreneursNetwork,6
10349092,Bored-in-London,1
1114381,london-nosql-mysql,1
17833522,BOND-T4D,1
18508329,FintechTuesday,2
12364332,FinTech-Startups,1
18956845,Pencil-Web-Development-Training,1
1518344,search-london,1
22411826,Open-Source-Cassandra,1
20185243,AfriCine-Films-Nollyfest-Film-Club,1
14588472,InsuranceTech,1
1815097,sing-in-london-UK,1
20904506,London-School-of-Entrepreneurs,2
21301821,Birkbeck-Outreach-Events,1
1768000,YoungProfessionalsinLondon,3
1131075,ukentrepreneurs,1
9114182,Nodejs-Paris,1
20214881,Big-Data-Next-Gen-Hadoop-Ingest-Transform-London,5
18866760,West-London-JavaScript-Meetup,1
19980873,BlockchainCanada,1
11926092,London-Black-French-Speakers,1
21752397,pointlondon,2
2466382,gdg-paris,1
2652752,London-Game-Developers,3
7504312,Go-London-User-Group,1
4201042,London-Investors-Entrepreneurs,3
18657875,Applied-Deep-Learning-Meetup,6
19232526,Alfresco-Meetups-for-Government,1
15841882,Geek-Girls-Carrots-UK,1
21035612,Global-South-Tech-Meetup-London,3
19040861,Apache-Kafka-London,1
23159324,After-work-Drinks-Lets-shake-it-off,1
19811429,London-Karaoke-Singing-Meetup,1
19839585,Connected-Data-London,3
3269222,LonData,1
18934376,AppliedAI,11
18487913,Nigerian-Masterminds,1
19040874,Challenge-Big-Data-Hosted-by-Pentaho,2
1736466,LondonPython,11
18604477,SEO-London-Networking-Internet-Marketing,1
18252400,Shy-Girls-London,1
5698162,Startup-Metrics-Toronto,1
1839731,Good-food-good-wine-good-friends-and-good-times,1
19040886,Data-Data-Data,2
18505833,Toronto-Hack-and-Tell,1
374207,Business-Networking-and-Growth,3
3478142,BigDataIWMT,2
1794687,Startup-Pitch-Night-London,1
4051392,socentlondon,1
1820779,London-Web-Analytics-Google-Analytics-OmnitureMVT,1
18434692,Non-Disclosure-NDA-and-Non-compete-Agreement-Discussions,1
20814614,meetup-group-qWwkpwdV,1
18211462,crowdtouching,3
2065031,Data-Mining,1
1759946,Big-Data-for-Business,1
19679882,Advance-in-your-career-Udacity-London-Meetup,4
5857932,big-o-london,2
21977743,London-Beginner-Guitar-Lessons,1
18037392,London-Open-Data-Missions,2
20325144,Beer-Driven-Development,1
6662802,London-Weekly-Python-and-Django-Coding-Session,1
19831444,Heart-Intelligence-London,1
19851925,africans-give-back,1
2894492,London-Machine-Learning-Meetup,11
18825888,UK-USA-Black-Connection,1
18451107,Innovation-Asset-Management-Meetup,1
14353062,London-Get-More-From-Data,2
20334705,Rise-London-FinTech,1
19227306,Be-a-Charming-Woman-London,1
22805163,Melon-Meetup,2
18606194,Dis-Functional,1
19485358,London-Computer-Security-Meetup,1
22981297,Robotic-Process-Automation-RPA-Meetup,1
23438002,Narrative-Eye-Black-British-History-Meetup,1
22229683,London-Workshops,1
18594487,The-London-Brazilian-Portuguese-Meetup-Group,1
23605949,Businesses-Going-Digital-London,1
20945598,London-Analytics,1
18555583,The-playhubs-game-developer-meetup,2
19937984,Learn-to-build-a-website-with-HTML-CSS,1
12983072,Startups-Entrepreneurs-and-Investors,3
18516675,London-Hedge-Fund-Startups,1
20394472,Dataiku-London-Meetup-Group,4
20189985,Tiny-Tableau-Talks,2
18153932,AntiSocialLondon,1
9781962,london-compsec,1
18764491,FintechforHumans,1
17105612,South-East-Geek-London,1
20345549,datasciencespeakers,2
18856397,Financial-Modeling-Quants-Bankers-and-Analysts,2
6439632,BusinessesNetwork,2
18952913,Hardware-Academy-by-Hardware-Startup-IO,2
18399955,Cryptovest-FS-Bitcoin-Bootcamp-and-Investment-Club,2
7217372,LondonMahoganyMeetup,1
349646,London-Canadian-Expat,1
4893402,blackqualityfriendshipsandrelationships,1
4967132,coinscrum,2
18533088,mojuba,1
3930852,Find-A-tech-Job-In-London,4
4557542,Angular-London,1
20488935,Data-Science-to-Startup,5
23032552,Entrepreneurs-Investors-Pitching-Event,1
1581802,the-london-lean-startup-group,1
24599275,Meetup-Customer-Service-Technology-London,1
7770862,Big-Data-Developers-in-Mexico-City,1
19911171,humanisingtech,2
19714856,API-Strategy-Tactics-London,1
3289842,IMTLondon,2
18263507,Ionic-UK,1
19636980,Virtual-Reality-Business,2
21646070,Women-in-Technology-Digital-London,1
19501816,JavaScript-London,2
19270394,Crypto-Valley-Forum,1
22618239,North-London-Football-and-Social,1
473853,WorldMusicMeetup,1
18791166,Digital-Inclusion-Network,2
21492480,London-Monthly-Web-Hackathon,2
23800875,HackTank,1
7863042,SiliconValleyVirtualReality,1
